"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points","opp_three_pt_Attempts","opp_three_pt_Made","opp_three_pt_Percentage","win_team","diff_tpa","diff_tpm","diff_tpp","Percent_of_Points","opp_Percent_of_Points","diff_pop"
"112","bro",34403,31,15,48.4,120,26,8,30.8,1,5,7,17.6,0.375,0.203389830508475,0.171610169491525
"113","bro",34420,32,13,40.6,99,13,3,23.1,0,19,10,17.5,0.393939393939394,0.0891089108910891,0.304830483048305
"114","bro",34433,25,10,40,95,22,11,50,0,3,-1,-10,0.315789473684211,0.279661016949153,0.036128456735058
"115","bro",34455,27,6,22.2,89,24,7,29.2,0,3,-1,-7,0.202247191011236,0.207920792079208,-0.00567360106797196
"116","bro",34476,38,17,44.7,109,22,10,45.4,0,16,7,-0.699999999999996,0.467889908256881,0.247933884297521,0.21995602395936
"117","bro",34487,30,9,30,108,33,9,27.3,0,-3,0,2.7,0.25,0.232758620689655,0.0172413793103448
"118","bro",34500,27,10,37,95,27,8,29.6,0,0,2,7.4,0.315789473684211,0.228571428571429,0.0872180451127819
"119","bro",34513,29,10,34.5,97,23,7,30.4,0,6,3,4.1,0.309278350515464,0.179487179487179,0.129791171028284
"120","bro",34527,42,9,21.4,95,32,11,34.4,0,10,-2,-13,0.284210526315789,0.317307692307692,-0.0330971659919028
"121","bro",34533,36,17,47.2,113,28,11,39.3,0,8,6,7.90000000000001,0.451327433628319,0.25,0.201327433628319
"122","bro",34549,44,15,34.1,112,44,21,47.7,0,0,-6,-13.6,0.401785714285714,0.45985401459854,-0.0580683003128258
"123","bro",34562,26,7,26.9,109,19,10,52.6,0,7,-3,-25.7,0.192660550458716,0.252100840336134,-0.0594402898774188
"124","bro",34585,30,15,50,143,34,11,32.4,1,-4,4,17.6,0.314685314685315,0.289473684210526,0.0252116304747884
"125","bro",34592,41,17,41.5,105,29,14,48.3,0,12,3,-6.8,0.485714285714286,0.375,0.110714285714286
"126","bro",34606,25,5,20,86,22,9,40.9,0,3,-4,-20.9,0.174418604651163,0.241071428571429,-0.0666528239202658
"127","bro",34622,35,13,37.1,106,23,11,47.8,0,12,2,-10.7,0.367924528301887,0.302752293577982,0.0651722347239051
"128","bro",34636,33,16,48.5,116,36,13,36.1,0,-3,3,12.4,0.413793103448276,0.314516129032258,0.0992769744160178
"129","bro",34650,21,7,33.3,109,20,9,45,0,1,-2,-11.7,0.192660550458716,0.209302325581395,-0.0166417751226798
"130","bro",34659,26,4,15.4,96,26,11,42.3,0,0,-7,-26.9,0.125,0.317307692307692,-0.192307692307692
"131","bro",34673,25,5,20,90,27,6,22.2,0,-2,-1,-2.2,0.166666666666667,0.189473684210526,-0.0228070175438597
"132","bro",34687,28,11,39.3,97,20,8,40,0,8,3,-0.700000000000003,0.34020618556701,0.226415094339623,0.113791091227388
"133","bro",34705,34,13,38.2,95,19,5,26.3,0,15,8,11.9,0.410526315789474,0.145631067961165,0.264895247828309
"134","bro",34719,36,12,33.3,107,26,7,26.9,0,10,5,6.4,0.336448598130841,0.189189189189189,0.147259408941652
"135","bro",34724,33,9,27.3,110,25,9,36,0,8,0,-8.7,0.245454545454545,0.236842105263158,0.00861244019138757
"136","bro",34739,20,8,40,99,23,7,30.4,0,-3,1,9.6,0.242424242424242,0.194444444444444,0.047979797979798
"137","bro",34762,37,12,32.4,103,22,9,40.9,0,15,3,-8.5,0.349514563106796,0.241071428571429,0.108443134535368
"138","bro",34778,36,14,38.9,125,15,7,46.7,0,21,7,-7.8,0.336,0.162790697674419,0.173209302325581
"139","bro",34804,30,10,33.3,109,31,14,45.2,0,-1,-4,-11.9,0.275229357798165,0.325581395348837,-0.0503520375506721
"140","bro",34813,28,8,28.6,95,31,11,35.5,0,-3,-3,-6.9,0.252631578947368,0.294642857142857,-0.0420112781954887
"141","bro",34845,28,11,39.3,109,22,11,50,1,6,0,-10.7,0.302752293577982,0.33,-0.0272477064220183
"142","bro",34855,29,7,24.1,97,26,12,46.2,0,3,-5,-22.1,0.216494845360825,0.321428571428571,-0.104933726067747
"143","bro",34866,30,14,46.7,116,25,16,64,0,5,-2,-17.3,0.362068965517241,0.369230769230769,-0.00716180371352787
"144","bro",34879,30,14,46.7,122,25,10,40,1,5,4,6.7,0.344262295081967,0.275229357798165,0.0690329372838021
"145","bro",34890,34,11,32.4,105,20,4,20,0,14,7,12.4,0.314285714285714,0.109090909090909,0.205194805194805
"146","bro",34911,31,9,29,96,33,14,42.4,0,-2,-5,-13.4,0.28125,0.4,-0.11875
"147","bro",34926,38,19,50,120,23,8,34.8,1,15,11,15.2,0.475,0.214285714285714,0.260714285714286
"148","bro",34940,24,12,50,104,22,10,45.4,0,2,2,4.6,0.346153846153846,0.245901639344262,0.100252206809584
"149","bro",34956,31,10,32.3,121,16,3,18.8,1,15,7,13.5,0.247933884297521,0.0818181818181818,0.166115702479339
"150","bro",34962,35,11,31.4,95,29,7,24.1,0,6,4,7.3,0.347368421052632,0.214285714285714,0.133082706766917
"151","bro",34976,31,13,41.9,104,25,10,40,0,6,3,1.9,0.375,0.27027027027027,0.10472972972973
"152","bro",34992,29,10,34.5,98,23,5,21.7,1,6,5,12.8,0.306122448979592,0.15625,0.149872448979592
"153","bro",35007,29,8,27.6,126,25,7,28,1,4,1,-0.399999999999999,0.19047619047619,0.214285714285714,-0.0238095238095238
"154","bro",35012,15,3,20,108,26,10,38.5,0,-11,-7,-18.5,0.0833333333333333,0.232558139534884,-0.14922480620155
"155","bro",35028,22,6,27.3,107,27,5,18.5,1,-5,1,8.8,0.168224299065421,0.16304347826087,0.00518082080455098
"156","bro",35045,32,9,28.1,101,33,10,30.3,0,-1,-1,-2.2,0.267326732673267,0.283018867924528,-0.015692135251261
"157","bro",35061,31,10,32.3,89,18,7,38.9,0,13,3,-6.6,0.337078651685393,0.233333333333333,0.10374531835206
"158","bro",35079,31,8,25.8,121,25,10,40,1,6,-2,-14.2,0.198347107438017,0.27027027027027,-0.0719231628322538
"159","bro",35089,33,10,30.3,91,24,7,29.2,1,9,3,1.1,0.32967032967033,0.25609756097561,0.0735727686947199
"160","bro",35094,31,16,51.6,141,38,12,31.6,1,-7,4,20,0.340425531914894,0.305084745762712,0.0353407861521817
"161","bro",35114,30,11,36.7,107,25,9,36,0,5,2,0.700000000000003,0.308411214953271,0.234782608695652,0.0736286062576188
"162","bro",35128,31,10,32.3,107,24,11,45.8,1,7,-1,-13.5,0.280373831775701,0.311320754716981,-0.0309469229412802
"163","bro",35144,31,8,25.8,105,38,14,36.8,0,-7,-6,-11,0.228571428571429,0.368421052631579,-0.13984962406015
"164","bro",35162,33,3,9.1,73,30,14,46.7,0,3,-11,-37.6,0.123287671232877,0.375,-0.251712328767123
"165","nyk",33941,27,9,33.3,88,35,13,37.1,0,-8,-4,-3.8,0.306818181818182,0.333333333333333,-0.0265151515151515
"166","nyk",33968,21,6,28.6,111,25,9,36,1,-4,-3,-7.4,0.162162162162162,0.259615384615385,-0.0974532224532225
"167","nyk",33990,22,7,31.8,89,13,8,61.5,0,9,-1,-29.7,0.235955056179775,0.235294117647059,0.000660938532716454
"168","nyk",33998,20,8,40,99,40,15,37.5,0,-20,-7,2.5,0.242424242424242,0.38135593220339,-0.138931689779147
