"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points"
"531","lac","34501",30,9,30,98
"532","lac","34524",26,9,34.6,105
"533","lac","34541",28,10,35.7,113
"534","lac","34561",28,12,42.9,120
"535","lac","34580",22,4,18.2,101
"536","lac","34598",32,10,31.2,98
"537","lac","34607",24,14,58.3,115
"538","lac","34615",34,18,52.9,110
"539","lac","34647",28,12,42.9,98
"540","lac","34679",19,5,26.3,124
"541","lac","34685",25,10,40,120
"542","lac","34706",29,10,34.5,102
"543","lac","34711",35,13,37.1,109
"544","lac","34731",25,10,40,119
"545","lac","34748",34,14,41.2,107
"546","lac","34768",25,9,36,88
"547","lac","34786",37,14,37.8,99
"548","lac","34794",28,11,39.3,113
"549","lac","34805",23,7,30.4,97
"550","lac","34821",32,10,31.2,124
"551","lac","34844",34,12,35.3,103
"552","lac","34852",19,8,42.1,101
"553","lac","34862",25,6,24,101
"554","lac","34885",20,9,45,116
"555","lac","34895",24,9,37.5,91
"556","lac","34901",30,11,36.7,114
"557","lac","34914",25,8,32,112
"558","lac","34936",30,12,40,108
"559","lac","34953",24,5,20.8,96
"560","lac","34958",32,16,50,114
"561","lac","34971",26,8,30.8,108
"562","lac","34990",31,10,32.3,114
"563","lac","34998",33,15,45.4,133
"564","lac","35009",27,9,33.3,95
"565","lac","35022",27,7,25.9,108
"566","lac","35029",29,10,34.5,97
"567","lac","35059",30,12,40,133
"568","lac","35064",22,12,54.6,124
"569","lac","35077",25,11,44,115
"570","lac","35112",31,12,38.7,112
"571","lac","35133",22,6,27.3,98
"572","lac","35150",26,10,38.5,125
"573","lac","35168",28,10,35.7,115
"574","lac","40246",37,11,29.7,98
"575","lal","33953",35,12,34.3,120
"576","lal","33964",23,9,39.1,89
"577","lal","33980",32,7,21.9,96
"578","lal","33988",28,6,21.4,108
"579","lal","33999",22,9,40.9,123
"580","lal","34018",30,8,26.7,117
"581","lal","34032",23,10,43.5,119
"582","lal","34044",26,10,38.5,97
"583","lal","34060",27,9,33.3,101
"584","lal","34069",30,16,53.3,126
"585","lal","34082",24,8,33.3,99
"586","lal","34097",28,9,32.1,125
"587","lal","34122",25,12,48,107
"588","lal","34138",31,13,41.9,110
"589","lal","34151",27,14,51.8,111
"590","lal","34163",20,8,40,106
"591","lal","34178",22,5,22.7,85
"592","lal","34192",20,8,40,109
"593","lal","34203",30,5,16.7,88
"594","lal","34209",8,2,25,96
"595","lal","34224",26,6,23.1,80
"596","lal","34235",21,7,33.3,100
"597","lal","34253",14,5,35.7,101
"598","lal","34266",20,5,25,95
"599","lal","34284",26,9,34.6,115
"600","lal","34300",28,10,35.7,112
"601","lal","34307",23,10,43.5,92
"602","lal","34318",27,6,22.2,97
"603","lal","34336",30,9,30,100
"604","lal","34342",37,16,43.2,108
"605","lal","34359",33,16,48.5,113
"606","lal","34379",38,14,36.8,107
"607","lal","34383",23,8,34.8,90
"608","lal","34400",25,8,32,111
"609","lal","34415",16,4,25,100
"610","lal","34431",19,7,36.8,89
"611","lal","34452",32,15,46.9,114
"612","lal","34468",33,17,51.5,116
"613","lal","34482",31,10,32.3,109
"614","lal","34489",28,10,35.7,127
"615","lal","34507",32,8,25,111
"616","lal","34517",24,9,37.5,87
"617","lal","34529",19,6,31.6,94
"618","lal","34541",21,10,47.6,97
"619","lal","34552",26,6,23.1,97
"620","lal","34566",30,11,36.7,121
"621","lal","34589",33,14,42.4,108
"622","lal","34602",21,3,14.3,73
"623","lal","34629",29,11,37.9,98
"624","lal","34633",14,4,28.6,88
"625","lal","34669",26,12,46.2,120
"626","lal","34682",39,12,30.8,108
"627","lal","34691",38,14,36.8,107
"628","lal","34708",28,8,28.6,121
"629","lal","34726",23,6,26.1,102
"630","lal","34742",30,15,50,122
"631","lal","34773",29,12,41.4,96
"632","lal","34784",26,9,34.6,101
"633","lal","34801",35,7,20,93
"634","lal","34814",22,7,31.8,98
"635","lal","34834",32,12,37.5,104
"636","lal","34858",24,6,25,95
"637","lal","34873",28,10,35.7,97
"638","lal","34887",30,11,36.7,111
"639","lal","34903",27,12,44.4,122
"640","lal","34930",20,4,20,116
"641","lal","34938",20,6,30,101
"642","lal","34950",25,3,12,100
"643","lal","34967",29,11,37.9,103
"644","lal","34983",27,11,40.7,120
"645","lal","34998",20,6,30,109
"646","lal","35020",23,14,60.9,130
"647","lal","35036",21,5,23.8,81
"648","lal","35050",22,8,36.4,108
"649","lal","35063",27,9,33.3,104
"650","lal","35077",23,6,26.1,104
"651","lal","35084",19,7,36.8,108
"652","lal","35110",14,7,50,102
"653","lal","35127",24,4,16.7,98
"654","lal","35142",27,10,37,110
"655","lal","35155",22,8,36.4,108
"656","lal","35169",17,4,23.5,94
"657","phx","33952",16,4,25,94
"658","phx","33961",28,5,17.9,110
"659","phx","33976",23,8,34.8,100
"660","phx","33985",15,5,33.3,98
"661","phx","34003",16,5,31.2,118
"662","phx","34015",24,8,33.3,112
"663","phx","34032",20,6,30,108
"664","phx","34043",21,7,33.3,121
"665","phx","34053",22,8,36.4,107
"666","phx","34079",33,8,24.2,104
"667","phx","34083",24,8,33.3,120
"668","phx","34106",20,8,40,104
"669","phx","34115",26,9,34.6,116
"670","phx","34129",21,6,28.6,105
"671","phx","34140",27,11,40.7,101
"672","phx","34154",22,9,40.9,92
"673","phx","34176",26,6,23.1,85
"674","phx","34186",25,11,44,114
"675","phx","34214",21,10,47.6,109
"676","phx","34239",32,11,34.4,109
"677","phx","34260",18,6,33.3,105
"678","phx","34269",33,9,27.3,94
"679","phx","34284",30,13,43.3,119
"680","phx","34299",41,14,34.2,119
"681","phx","34312",30,9,30,113
"682","phx","34339",22,8,36.4,101
"683","phx","34356",21,9,42.9,108
"684","phx","34375",25,9,36,111
"685","phx","34393",26,12,46.2,123
"686","phx","34407",30,7,23.3,115
"687","phx","34422",16,7,43.8,98
"688","phx","34430",21,9,42.9,99
"689","phx","34446",17,7,41.2,86
"690","phx","34459",15,2,13.3,98
"691","phx","34467",23,9,39.1,99
"692","phx","34481",17,7,41.2,102
"693","phx","34505",27,9,33.3,116
"694","phx","34530",18,10,55.6,108
"695","phx","34543",21,8,38.1,108
"696","phx","34560",22,5,22.7,101
"697","phx","34576",19,4,21,103
"698","phx","34594",24,9,37.5,107
"699","phx","34603",22,9,40.9,115
"700","phx","34619",19,7,36.8,111
"701","phx","34632",24,10,41.7,120
"702","phx","34649",21,6,28.6,112
"703","phx","34663",19,5,26.3,96
"704","phx","34679",20,7,35,114
"705","phx","34693",29,12,41.4,105
"706","phx","34701",28,11,39.3,112
"707","phx","34714",27,5,18.5,106
"708","phx","34728",23,5,21.7,91
"709","phx","34746",19,8,42.1,115
"710","phx","34753",22,8,36.4,102
"711","phx","34769",23,8,34.8,108
"712","phx","34784",24,10,41.7,137
"713","phx","34799",24,8,33.3,121
"714","phx","34815",14,5,35.7,96
"715","phx","34832",21,7,33.3,112
"716","phx","34847",19,7,36.8,120
"717","phx","34856",21,5,23.8,118
"718","phx","34869",20,4,20,109
"719","phx","34888",27,13,48.2,127
"720","phx","34903",19,6,31.6,110
"721","phx","34922",20,6,30,100
"722","phx","34928",14,5,35.7,101
"723","phx","34952",25,6,24,101
"724","phx","34966",14,2,14.3,103
"725","phx","34978",22,6,27.3,95
"726","phx","34993",16,4,25,97
"727","phx","35007",25,7,28,98
"728","phx","35016",19,6,31.6,120
"729","phx","35027",16,6,37.5,106
"730","phx","35046",31,7,22.6,91
"731","phx","35064",23,7,30.4,118
"732","phx","35081",10,3,30,117
